,Variable,Feature,Value,Coefficient,N,N.not.0,P.value,Q.value,Measure,is_filtered
166,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_1_57FAA,time,0.011013466,518,114,1.87E-23,5.88E-22,tax,filtered
167,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_1_57FAA|t__GCF_000218445,time,0.011013466,518,114,1.87E-23,5.88E-22,tax,filtered
168,time,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis,time,-0.010448733,518,154,9.56E-23,2.94E-21,tax,filtered
169,time,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis|t__Enterococcus_faecalis_unclassified,time,-0.010448733,518,154,9.56E-23,2.94E-21,tax,filtered
170,time,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,time,0.014834652,518,384,1.36E-22,4.16E-21,tax,filtered
171,time,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,time,0.014840088,518,384,1.58E-22,4.78E-21,tax,filtered
172,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_57FAA,time,0.005633809,518,93,1.94E-22,5.73E-21,tax,filtered
173,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_57FAA|t__GCF_000218425,time,0.005633809,518,93,1.94E-22,5.73E-21,tax,filtered
174,time,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania,time,0.004189644,518,68,3.06E-22,8.96E-21,tax,filtered
175,time,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis,time,0.008389815,518,218,3.43E-22,9.96E-21,tax,filtered
176,time,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis,time,0.010189216,518,88,1.15E-21,3.27E-20,tax,filtered
177,time,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis|t__GCF_000154465,time,0.010189216,518,88,1.15E-21,3.27E-20,tax,filtered
178,time,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__Bacteroides_uniformis_unclassified,time,0.008137228,518,217,4.74E-21,1.34E-19,tax,filtered
179,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens,time,0.009472259,518,103,3.31E-20,9.19E-19,tax,filtered
180,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens|t__GCF_000146185,time,0.009472259,518,103,3.31E-20,9.19E-19,tax,filtered
181,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_2_1_58FAA,time,0.00942982,518,158,1.12E-19,3.05E-18,tax,filtered
182,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_2_1_58FAA|t__GCF_000218465,time,0.00942982,518,158,1.12E-19,3.05E-18,tax,filtered
183,time,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus,time,0.006673938,518,173,3.64E-19,9.76E-18,tax,filtered
184,time,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus|t__Bacteroides_ovatus_unclassified,time,0.006673938,518,173,3.64E-19,9.76E-18,tax,filtered
185,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_8_1_57FAA,time,0.009019921,518,77,4.30E-19,1.13E-17,tax,filtered
186,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_8_1_57FAA|t__GCF_000185545,time,0.009019921,518,77,4.30E-19,1.13E-17,tax,filtered
187,time,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella|s__Gemella_sanguinis,time,0.00307934,518,103,1.82E-18,4.71E-17,tax,filtered
188,time,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella|s__Gemella_sanguinis|t__GCF_000204335,time,0.00307934,518,103,1.82E-18,4.71E-17,tax,filtered
189,time,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister,time,0.008912861,518,76,2.15E-18,5.43E-17,tax,filtered
190,time,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus,time,0.008912861,518,76,2.15E-18,5.43E-17,tax,filtered
191,time,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus|t__GCF_000160055,time,0.008912861,518,76,2.15E-18,5.43E-17,tax,filtered
192,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified,time,0.008327344,518,135,3.15E-18,7.88E-17,tax,filtered
193,time,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_aureus,time,-0.006364705,518,135,3.24E-17,7.99E-16,tax,filtered
194,time,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_aureus|t__Staphylococcus_aureus_unclassified,time,-0.006364705,518,135,3.24E-17,7.99E-16,tax,filtered
195,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_46FAA,time,0.005825042,518,70,3.78E-17,9.03E-16,tax,filtered
196,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_46FAA|t__GCF_000209405,time,0.005825042,518,70,3.78E-17,9.03E-16,tax,filtered
197,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_leptum,time,0.004530193,518,69,3.78E-17,9.03E-16,tax,filtered
198,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_leptum|t__GCF_000154345,time,0.004530193,518,69,3.78E-17,9.03E-16,tax,filtered
199,time,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae,time,0.003085141,518,164,4.71E-17,1.12E-15,tax,filtered
200,time,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales,time,0.003389573,518,171,3.63E-16,8.54E-15,tax,filtered
201,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,time,0.012047247,518,342,8.19E-16,1.91E-14,tax,filtered
202,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium,time,0.012082805,518,340,8.98E-16,2.08E-14,tax,filtered
203,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_producta,time,0.007774989,518,135,1.29E-15,2.94E-14,tax,filtered
204,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_producta|t__GCF_000373885,time,0.007774989,518,135,1.29E-15,2.94E-14,tax,filtered
205,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_unclassified,time,0.006337388,518,90,1.42E-15,3.21E-14,tax,filtered
206,time,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella,time,0.010938306,518,218,3.47E-15,7.80E-14,tax,filtered
207,time,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii,time,0.007160146,518,82,1.69E-14,3.74E-13,tax,filtered
208,time,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii|t__GCF_000374505,time,0.007160146,518,82,1.69E-14,3.74E-13,tax,filtered
209,time,k__Bacteria|p__Firmicutes|c__Clostridia,time,0.008154683,518,426,1.97E-14,4.29E-13,tax,filtered
210,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,time,0.008154683,518,426,1.97E-14,4.29E-13,tax,filtered
211,time,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum,time,0.009211444,518,158,2.46E-14,5.29E-13,tax,filtered
212,time,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum|t__GCF_000173435,time,0.009211444,518,158,2.46E-14,5.29E-13,tax,filtered
213,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae,time,0.006639811,518,94,2.99E-14,6.35E-13,tax,filtered
214,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter,time,0.006639811,518,94,2.99E-14,6.35E-13,tax,filtered
215,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_nexile,time,0.009826926,518,160,6.22E-14,1.30E-12,tax,filtered
216,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_nexile|t__GCF_000156035,time,0.009826926,518,160,6.22E-14,1.30E-12,tax,filtered
217,time,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_hominis,time,-0.006544128,518,66,3.32E-13,6.85E-12,tax,filtered
218,time,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_hominis|t__Staphylococcus_hominis_unclassified,time,-0.006544128,518,66,3.32E-13,6.85E-12,tax,filtered
219,time,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter,time,0.00388749,518,94,4.52E-13,9.03E-12,tax,filtered
220,time,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae,time,0.00388749,518,94,4.52E-13,9.03E-12,tax,filtered
221,time,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae|t__GCF_000210055,time,0.00388749,518,94,4.52E-13,9.03E-12,tax,filtered
222,time,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens,time,0.010096775,518,203,5.11E-13,1.01E-11,tax,filtered
223,time,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens|t__GCF_000169035,time,0.010096775,518,203,5.11E-13,1.01E-11,tax,filtered
224,time,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales,time,-0.005310654,518,352,9.73E-13,1.91E-11,tax,filtered
225,time,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces,time,0.003877604,518,255,1.76E-12,3.39E-11,tax,filtered
226,time,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,time,0.004641234,518,53,1.87E-12,3.57E-11,tax,filtered
227,time,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae,time,-0.006006557,518,246,1.90E-12,3.59E-11,tax,filtered
228,time,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus,time,-0.006006557,518,246,1.90E-12,3.59E-11,tax,filtered
229,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname,time,0.003900383,518,173,3.48E-12,6.53E-11,tax,filtered
230,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_bolteae,time,0.007815358,518,177,3.60E-12,6.72E-11,tax,filtered
231,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Flavonifractor,time,0.00220816,518,146,6.80E-12,1.25E-10,tax,filtered
232,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Flavonifractor|s__Flavonifractor_plautii,time,0.00220816,518,146,6.80E-12,1.25E-10,tax,filtered
233,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Flavonifractor|s__Flavonifractor_plautii|t__GCF_000239295,time,0.00220816,518,146,6.80E-12,1.25E-10,tax,filtered
234,time,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus,time,0.002491142,518,170,1.51E-11,2.73E-10,tax,filtered
235,time,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus|t__Actinomyces_odontolyticus_unclassified,time,0.002491142,518,170,1.51E-11,2.73E-10,tax,filtered
236,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_hathewayi|t__Clostridium_hathewayi_unclassified,time,0.003391745,518,164,1.65E-11,2.97E-10,tax,filtered
237,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_hathewayi,time,0.003460004,518,173,1.67E-11,2.98E-10,tax,filtered
238,time,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,time,0.006684292,518,199,2.04E-11,3.61E-10,tax,filtered
239,time,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis|t__Bacteroides_fragilis_unclassified,time,0.006684292,518,199,2.04E-11,3.61E-10,tax,filtered
240,time,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii,time,0.003299649,518,61,2.25E-11,3.94E-10,tax,filtered
241,time,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii|t__GCF_000265365,time,0.003299649,518,61,2.25E-11,3.94E-10,tax,filtered
242,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_bolteae|t__Clostridium_bolteae_unclassified,time,0.006804148,518,163,4.35E-11,7.57E-10,tax,filtered
243,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_3_1_31,time,0.003809788,518,52,1.10E-10,1.90E-09,tax,filtered
244,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_3_1_31|t__Eubacterium_sp_3_1_31_unclassified,time,0.003809788,518,52,1.10E-10,1.90E-09,tax,filtered
245,time,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis,time,0.007268625,518,100,3.69E-10,6.27E-09,tax,filtered
246,time,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis|t__Bifidobacterium_animalis_unclassified,time,0.007268625,518,100,3.69E-10,6.27E-09,tax,filtered
247,time,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,time,0.005945189,518,238,3.74E-10,6.33E-09,tax,filtered
248,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_unclassified,time,0.005185172,518,95,4.60E-10,7.73E-09,tax,filtered
249,time,k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae,time,0.001591094,518,54,5.26E-10,8.80E-09,tax,filtered
250,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_unclassified,time,0.005439278,518,77,5.38E-10,8.95E-09,tax,filtered
251,time,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_lugdunensis,time,-0.004366264,518,61,9.73E-10,1.60E-08,tax,filtered
252,time,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_lugdunensis|t__Staphylococcus_lugdunensis_unclassified,time,-0.004366264,518,61,9.73E-10,1.60E-08,tax,filtered
253,time,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae,time,-0.004249474,518,121,1.09E-09,1.79E-08,tax,filtered
254,time,k__Eukaryota,time,0.001599613,518,56,1.60E-09,2.57E-08,tax,filtered
255,time,k__Eukaryota|p__Ascomycota,time,0.001599613,518,56,1.60E-09,2.57E-08,tax,filtered
256,time,k__Eukaryota|p__Ascomycota|c__Saccharomycetes,time,0.001599613,518,56,1.60E-09,2.57E-08,tax,filtered
257,time,k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales,time,0.001599613,518,56,1.60E-09,2.57E-08,tax,filtered
258,time,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii,time,0.004119064,518,56,1.77E-09,2.80E-08,tax,filtered
259,time,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__GCF_000210575,time,0.004119064,518,56,1.77E-09,2.80E-08,tax,filtered
260,time,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,time,0.003228697,518,194,1.87E-09,2.96E-08,tax,filtered
261,time,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae,time,0.003713877,518,268,2.04E-09,3.20E-08,tax,filtered
262,time,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__Lactococcus_lactis_unclassified,time,0.004062264,518,72,2.50E-09,3.87E-08,tax,filtered
263,time,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides,time,0.005537129,518,231,2.74E-09,4.22E-08,tax,filtered
264,time,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella,time,0.004159895,518,108,2.83E-09,4.32E-08,tax,filtered
265,time,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_wadsworthensis,time,0.004159895,518,108,2.83E-09,4.32E-08,tax,filtered
266,time,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae,time,0.006234379,518,99,4.28E-09,6.45E-08,tax,filtered
267,time,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae|t__Bacteroides_caccae_unclassified,time,0.006234379,518,99,4.28E-09,6.45E-08,tax,filtered
268,time,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus,time,0.004114863,518,72,5.48E-09,8.19E-08,tax,filtered
269,time,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis,time,0.004114863,518,72,5.48E-09,8.19E-08,tax,filtered
270,time,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei,time,0.00625015,518,159,7.88E-09,1.17E-07,tax,filtered
271,time,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_21_3,time,0.004964079,518,120,1.34E-08,1.97E-07,tax,filtered
272,time,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_21_3|t__GCF_000242195,time,0.004964079,518,120,1.34E-08,1.97E-07,tax,filtered
273,time,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_wadsworthensis|t__Sutterella_wadsworthensis_unclassified,time,0.00383386,518,107,1.34E-08,1.97E-07,tax,filtered
274,time,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei|t__Bacteroides_dorei_unclassified,time,0.006146627,518,159,1.46E-08,2.13E-07,tax,filtered
275,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus,time,0.003508508,518,94,1.79E-08,2.60E-07,tax,filtered
276,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_7_1_58FAA,time,0.002057375,518,93,3.20E-08,4.60E-07,tax,filtered
277,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_7_1_58FAA|t__GCF_000242155,time,0.002057375,518,93,3.20E-08,4.60E-07,tax,filtered
278,time,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Clostridium_innocuum,time,0.002407988,518,107,3.32E-08,4.73E-07,tax,filtered
279,time,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Clostridium_innocuum|t__GCF_000371425,time,0.002407988,518,107,3.32E-08,4.73E-07,tax,filtered
280,time,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius,time,0.008489594,518,446,8.72E-08,1.23E-06,tax,filtered
281,time,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius|t__Streptococcus_salivarius_unclassified,time,0.008489594,518,446,8.72E-08,1.23E-06,tax,filtered
282,time,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis,time,0.0065716,518,417,1.19E-07,1.66E-06,tax,filtered
283,time,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis|t__Streptococcus_parasanguinis_unclassified,time,0.0065716,518,417,1.19E-07,1.66E-06,tax,filtered
284,time,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_elegans,time,0.001056996,518,55,1.54E-07,2.14E-06,tax,filtered
285,time,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_elegans|t__GCF_000162475,time,0.001056996,518,55,1.54E-07,2.14E-06,tax,filtered
286,time,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii,time,0.001479034,518,101,2.08E-07,2.85E-06,tax,filtered
287,time,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii|t__Actinomyces_graevenitzii_unclassified,time,0.001479034,518,101,2.08E-07,2.85E-06,tax,filtered
288,time,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacteriaceae_unclassified,time,-0.002531001,518,77,3.88E-07,5.26E-06,tax,filtered
289,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_57FAA_CT1,time,0.003720227,518,61,5.11E-07,6.87E-06,tax,filtered
290,time,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_57FAA_CT1|t__GCF_000218405,time,0.003720227,518,61,5.11E-07,6.87E-06,tax,filtered
291,time,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium,time,-0.002557798,518,91,5.27E-07,7.05E-06,tax,filtered
292,time,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,time,-0.007371524,518,483,7.34E-07,9.79E-06,tax,filtered
293,time,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,time,0.006843004,518,195,7.52E-07,9.92E-06,tax,filtered
